City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,thunder bay,48.4001,-89.3168,67.98,55,75,11.5,CA,2023-07-17
331,xai-xai,-25.0519,33.6442,59.88,70,0,6.22,MZ,2023-07-17
332,benjamin aceval,-24.9667,-57.5667,57.34,60,100,7.27,PY,2023-07-17
333,seshcha,53.7361,33.3387,61.99,92,86,5.91,RU,2023-07-17
334,namibe,-15.1961,12.1522,68.56,68,3,2.42,AO,2023-07-17
335,kovernino,57.1253,43.8142,64.02,75,71,3.29,RU,2023-07-17
336,alofi,-19.0595,-169.9187,75.09,78,75,14.97,NU,2023-07-17
337,puerto leguizamo,-0.1934,-74.7819,73.65,97,98,2.3,CO,2023-07-17
338,suva,-18.1416,178.4415,74.68,73,75,9.22,FJ,2023-07-17
339,castillos,-34.1667,-53.8333,41.85,70,17,8.5,UY,2023-07-17
340,eastham,41.8301,-69.9739,82.42,84,0,8.05,US,2023-07-17
341,kolonia town,6.964,158.206,82.4,83,100,6.91,FM,2023-07-17
342,banjar,-8.19,114.9675,73.35,85,16,3.22,ID,2023-07-17
343,jingdezhen,29.2947,117.2079,77.0,96,96,1.74,CN,2023-07-17
344,tobol'sk,58.2,68.2667,60.53,96,100,5.57,RU,2023-07-17
345,saudarkrokur,65.7461,-19.6394,43.0,93,18,4.29,IS,2023-07-17
